ID,Classe,Vitesse (px/s),Temps (s),X,Y
1,car,0,0.08,262,578
2,car,0,0.08,340,664
3,car,0,0.08,45,640
4,car,0,0.08,124,437
5,car,0,0.08,242,384
6,car,0,0.08,239,331
7,car,0,0.08,376,390
8,car,0,0.08,403,423
9,car,0,0.08,154,271
10,car,0,0.08,122,313
11,person,0,0.08,375,553
12,car,0,0.08,338,339
13,car,0,0.08,22,275
14,car,0,0.08,185,484
15,truck,0,0.08,185,485
17,car,0,0.08,248,271
18,car,0,0.08,110,379
19,car,0,0.08,374,222
20,car,0,0.08,196,245
21,car,0,0.08,289,222
25,car,0,0.08,94,227
26,car,0,0.08,269,244
27,car,0,0.08,245,299
28,car,0,0.08,217,219
29,car,0,0.08,7,313
30,car,0,0.08,341,236
31,person,0,0.08,179,340
33,car,0,0.08,353,257
1,car,33.94,0.12,263,579
2,car,72.0,0.12,343,664
3,car,53.67,0.12,46,642
4,car,33.94,0.12,125,438
5,car,24.0,0.12,243,384
6,car,33.94,0.12,240,332
7,car,24.0,0.12,376,389
8,car,24.0,0.12,402,423
9,car,48.0,0.12,156,271
10,car,0.0,0.12,122,313
11,person,75.89,0.12,372,552
12,car,24.0,0.12,338,340
13,car,24.0,0.12,22,276
14,car,0.0,0.12,185,484
15,truck,24.0,0.12,186,485
17,car,33.94,0.12,249,272
18,car,0.0,0.12,110,379
19,car,24.0,0.12,375,222
20,car,24.0,0.12,197,245
21,car,24.0,0.12,290,222
25,car,24.0,0.12,94,228
26,car,33.94,0.12,270,243
27,car,24.0,0.12,246,299
28,car,0.0,0.12,217,219
29,car,24.0,0.12,7,314
30,car,0.0,0.12,341,236
31,person,0.0,0.12,179,340
33,car,24.0,0.12,353,258
1,car,0.0,0.17,263,579
2,car,33.94,0.17,344,663
3,car,98.95,0.17,47,646
4,car,24.0,0.17,126,438
5,car,0.0,0.17,243,384
6,car,24.0,0.17,240,331
7,car,24.0,0.17,377,389
8,car,0.0,0.17,402,423
9,car,24.0,0.17,157,271
10,car,33.94,0.17,123,314
11,motorcycle,408.0,0.17,372,569
12,car,0.0,0.17,338,340
13,car,48.0,0.17,22,278
14,car,0.0,0.17,185,484
15,truck,0.0,0.17,186,485
17,car,48.0,0.17,251,272
18,car,98.95,0.17,111,375
19,car,33.94,0.17,376,223
20,car,75.89,0.17,200,244
21,car,48.0,0.17,292,222
25,car,24.0,0.17,95,228
26,car,24.0,0.17,271,243
27,car,24.0,0.17,247,299
28,car,24.0,0.17,218,219
29,car,33.94,0.17,8,315
30,car,24.0,0.17,341,237
31,person,24.0,0.17,180,340
33,car,24.0,0.17,353,259
1,car,24.0,0.21,263,578
2,car,24.0,0.21,345,663
3,car,53.67,0.21,48,648
4,car,33.94,0.21,127,439
5,car,24.0,0.21,244,384
6,car,24.0,0.21,241,331
7,car,0.0,0.21,377,389
8,car,0.0,0.21,402,423
9,car,33.94,0.21,158,272
10,car,24.0,0.21,124,314
11,motorcycle,120.0,0.21,372,574
12,car,24.0,0.21,339,340
13,car,24.0,0.21,22,279
14,truck,33.94,0.21,186,485
15,car,0.0,0.21,186,485
17,car,0.0,0.21,251,272
18,car,72.0,0.21,111,378
19,car,24.0,0.21,377,223
20,car,33.94,0.21,199,245
21,car,0.0,0.21,292,222
25,car,0.0,0.21,95,228
26,car,24.0,0.21,272,243
27,car,33.94,0.21,248,300
