ID,Classe,Vitesse (px/s),Temps (s),X,Y
1,person,0,0.08,1853,759
2,person,0,0.08,1502,843
3,bicycle,0,0.08,1504,901
4,traffic light,0,0.08,783,260
5,person,0,0.08,537,634
6,car,0,0.08,1475,538
7,car,0,0.08,1255,451
8,car,0,0.08,1465,532
9,traffic light,0,0.08,1108,607
10,person,0,0.08,424,658
1,person,35.36,0.12,1854,760
2,person,55.9,0.12,1503,841
3,bicycle,25.0,0.12,1504,900
4,traffic light,25.0,0.12,783,261
5,person,55.9,0.12,535,635
6,car,50.0,0.12,1477,538
7,car,0.0,0.12,1255,451
8,car,25.0,0.12,1464,532
9,traffic light,0.0,0.12,1108,607
10,person,0.0,0.12,424,658
1,person,25.0,0.16,1854,761
2,person,25.0,0.16,1503,840
3,bicycle,35.36,0.16,1505,899
4,traffic light,0.0,0.16,783,261
5,person,55.9,0.16,533,634
6,car,0.0,0.16,1477,538
7,car,0.0,0.16,1255,451
8,car,0.0,0.16,1464,532
9,traffic light,0.0,0.16,1108,607
10,person,25.0,0.16,425,658
1,person,0.0,0.2,1854,761
2,person,35.36,0.2,1504,839
3,bicycle,50.0,0.2,1505,897
4,traffic light,0.0,0.2,783,261
5,person,35.36,0.2,532,635
6,car,35.36,0.2,1476,537
7,car,25.0,0.2,1255,452
8,car,0.0,0.2,1464,532
9,traffic light,0.0,0.2,1108,607
10,person,0.0,0.2,425,658
1,person,0.0,0.24,1854,761
2,person,25.0,0.24,1505,839
3,bicycle,25.0,0.24,1506,897
4,traffic light,0.0,0.24,783,261
5,person,55.9,0.24,530,636
6,car,25.0,0.24,1476,538
7,car,0.0,0.24,1255,452
8,car,50.0,0.24,1466,532
9,traffic light,0.0,0.24,1108,607
10,person,0.0,0.24,425,658
1,person,25.0,0.28,1854,760
2,person,55.9,0.28,1507,840
3,bicycle,25.0,0.28,1506,896
4,traffic light,0.0,0.28,783,261
5,person,25.0,0.28,529,636
6,car,25.0,0.28,1477,538
7,car,0.0,0.28,1255,452
8,car,25.0,0.28,1467,532
9,traffic light,0.0,0.28,1108,607
10,person,0.0,0.28,425,658
1,person,25.0,0.32,1853,760
2,person,25.0,0.32,1507,839
3,bicycle,25.0,0.32,1507,896
4,traffic light,0.0,0.32,783,261
5,person,55.9,0.32,527,637
6,car,0.0,0.32,1477,538
7,car,25.0,0.32,1255,451
8,car,25.0,0.32,1468,532
9,traffic light,0.0,0.32,1108,607
10,person,0.0,0.32,425,658
1,person,0.0,0.36,1853,760
2,person,25.0,0.36,1508,839
3,bicycle,50.0,0.36,1507,898
4,traffic light,0.0,0.36,783,261
5,person,25.0,0.36,526,637
6,car,25.0,0.36,1476,538
7,car,0.0,0.36,1255,451
8,car,25.0,0.36,1467,532
9,traffic light,0.0,0.36,1108,607
10,person,0.0,0.36,425,658
1,person,25.0,0.4,1852,760
2,person,25.0,0.4,1508,840
3,bicycle,35.36,0.4,1508,897
4,traffic light,0.0,0.4,783,261
5,person,25.0,0.4,525,637
6,car,25.0,0.4,1476,537
7,car,0.0,0.4,1255,451
8,car,25.0,0.4,1466,532
9,traffic light,0.0,0.4,1108,607
10,person,0.0,0.4,425,658
1,person,25.0,0.44,1852,759
2,person,25.0,0.44,1508,839
3,bicycle,25.0,0.44,1509,897
4,traffic light,0.0,0.44,783,261
5,person,55.9,0.44,523,638
6,car,0.0,0.44,1476,537
7,car,0.0,0.44,1255,451
8,car,0.0,0.44,1466,532
9,traffic light,0.0,0.44,1108,607
10,person,0.0,0.44,425,658
1,person,0.0,0.48,1852,759
2,person,35.36,0.48,1509,838
3,bicycle,35.36,0.48,1510,896
4,traffic light,25.0,0.48,783,262
5,person,25.0,0.48,522,638
6,car,0.0,0.48,1476,537
7,car,0.0,0.48,1255,451
8,car,55.9,0.48,1464,531
9,traffic light,0.0,0.48,1108,607
10,person,0.0,0.48,425,658
1,person,0.0,0.52,1852,759
2,person,25.0,0.52,1510,838
3,bicycle,0.0,0.52,1510,896
4,traffic light,0.0,0.52,783,262
