ID,Classe,Vitesse (px/s),Temps (s),X,Y
1,bus,0,0.08,486,266
2,car,0,0.08,332,315
3,car,0,0.08,630,400
4,car,0,0.08,428,385
5,car,0,0.08,262,342
6,car,0,0.08,385,418
7,car,0,0.08,147,417
8,car,0,0.08,283,198
9,car,0,0.08,662,321
10,car,0,0.08,26,361
11,car,0,0.08,299,333
12,car,0,0.08,448,345
13,car,0,0.08,485,334
14,car,0,0.08,571,209
15,car,0,0.08,152,207
16,car,0,0.08,114,285
17,car,0,0.08,670,239
18,car,0,0.08,656,371
19,car,0,0.08,350,275
20,car,0,0.08,285,391
21,truck,0,0.08,66,200
22,car,0,0.08,548,243
23,car,0,0.08,321,323
24,car,0,0.08,672,282
27,car,0,0.08,587,179
29,car,0,0.08,228,417
1,bus,0.0,0.13,486,266
2,car,23.98,0.13,333,315
3,car,23.98,0.13,630,399
4,car,23.98,0.13,429,385
5,car,23.98,0.13,263,342
6,car,0.0,0.13,385,418
7,car,23.98,0.13,148,417
8,car,23.98,0.13,282,198
9,car,0.0,0.13,662,321
10,car,33.91,0.13,25,362
11,car,33.91,0.13,300,334
12,car,33.91,0.13,449,344
13,car,23.98,0.13,484,334
14,car,23.98,0.13,572,209
15,car,0.0,0.13,152,207
16,car,53.62,0.13,112,286
17,car,23.98,0.13,670,240
18,car,23.98,0.13,657,371
19,car,53.62,0.13,349,273
20,car,33.91,0.13,286,390
21,truck,23.98,0.13,66,201
22,car,47.96,0.13,548,241
23,car,33.91,0.13,320,324
24,car,23.98,0.13,673,282
27,car,0.0,0.13,587,179
29,car,426.95,0.13,217,403
32,car,0,0.13,214,412
1,bus,0.0,0.17,486,266
2,car,0.0,0.17,333,315
3,car,0.0,0.17,630,399
4,car,0.0,0.17,429,385
5,car,23.98,0.17,263,341
6,car,23.98,0.17,386,418
7,car,0.0,0.17,148,417
8,car,53.62,0.17,281,200
9,car,23.98,0.17,663,321
10,car,23.98,0.17,25,363
11,car,0.0,0.17,300,334
12,car,23.98,0.17,449,343
13,car,23.98,0.17,485,334
14,car,0.0,0.17,572,209
15,car,53.62,0.17,150,206
16,car,33.91,0.17,111,287
17,car,23.98,0.17,670,239
18,car,0.0,0.17,657,371
19,car,47.96,0.17,349,275
20,car,23.98,0.17,285,390
21,truck,53.62,0.17,67,203
22,car,33.91,0.17,549,240
23,car,23.98,0.17,319,324
24,car,33.91,0.17,674,283
27,car,0.0,0.17,587,179
29,car,153.55,0.17,213,398
32,car,23.98,0.17,214,411
35,car,0,0.17,204,226
1,bus,33.91,0.21,487,265
2,car,33.91,0.21,334,314
3,car,23.98,0.21,630,400
4,car,23.98,0.21,430,385
5,car,0.0,0.21,263,341
6,car,0.0,0.21,386,418
7,car,23.98,0.21,149,417
8,car,33.91,0.21,280,201
9,car,23.98,0.21,663,320
10,car,0.0,0.21,25,363
11,car,75.83,0.21,299,331
12,car,23.98,0.21,450,343
13,car,33.91,0.21,484,333
14,car,0.0,0.21,572,209
15,car,23.98,0.21,149,206
16,car,23.98,0.21,110,287
17,car,0.0,0.21,670,239
18,car,23.98,0.21,658,371
19,car,33.91,0.21,350,276
20,car,23.98,0.21,286,390
21,truck,23.98,0.21,68,203
22,car,23.98,0.21,549,239
23,car,47.96,0.21,317,324
24,car,0.0,0.21,674,283
27,car,0.0,0.21,587,179
29,car,75.83,0.21,212,395
32,car,47.96,0.21,214,409
35,car,23.98,0.21,204,227
36,truck,0,0.21,620,107
1,bus,0.0,0.25,487,265
2,car,0.0,0.25,334,314
3,car,0.0,0.25,630,400
4,car,23.98,0.25,430,384
5,car,23.98,0.25,264,341
6,car,33.91,0.25,387,417
7,car,23.98,0.25,150,417
8,car,23.98,0.25,280,202
9,car,0.0,0.25,663,320
10,car,0.0,0.25,25,363
11,car,0.0,0.25,299,331
12,car,23.98,0.25,451,343
13,car,0.0,0.25,484,333
14,car,23.98,0.25,573,209
15,car,23.98,0.25,148,206
16,car,47.96,0.25,110,289
17,car,0.0,0.25,670,239
18,car,33.91,0.25,659,370
19,car,33.91,0.25,351,277
20,car,167.86,0.25,279,390
21,truck,23.98,0.25,69,203
22,car,23.98,0.25,549,238
23,car,33.91,0.25,316,325
24,car,0.0,0.25,674,283
27,car,0.0,0.25,587,179
29,car,139.83,0.25,209,390
32,car,204.89,0.25,217,401
35,car,23.98,0.25,205,227
36,truck,0.0,0.25,620,107
1,bus,0.0,0.29,487,265
2,car,0.0,0.29,334,314
3,car,0.0,0.29,630,400
4,car,23.98,0.29,431,384
5,car,23.98,0.29,264,340
6,car,33.91,0.29,388,416
7,car,33.91,0.29,151,416
8,car,33.91,0.29,279,201
9,car,0.0,0.29,663,320
10,car,23.98,0.29,24,363
11,car,167.86,0.29,299,324
12,car,23.98,0.29,451,342
13,car,23.98,0.29,483,333
14,car,23.98,0.29,572,209
15,car,23.98,0.29,147,206
16,car,23.98,0.29,109,289
